REGIÃO ;PAÍS;CAPACIDADE EFETIVA DE REFINO em mil barris por dia;ANO
Oriente Médio;Iraque;914;2010
Oriente Médio;Israel;280;2010
Oriente Médio;Omã;222;2010
Oriente Médio;Outros ;496;2010
África;África do Sul;520;2010
África;Argélia;554,268493;2010
África;Egito;810;2010
África;Marrocos;130,534247;2010
África;Nigéria;211;2010
África;Outros;959;2010
Ásia-Pacífico;Austrália;739,6;2010
Ásia-Pacífico;Bangladesh;39;2010
Ásia-Pacífico;China;12322,53329;2010
Ásia-Pacífico;Cingapura;1427;2010
Ásia-Pacífico;Coreia do Sul;2774;2010
Ásia-Pacífico;Filipinas;264,1;2010
Ásia-Pacífico;Índia;3703,308387;2010
Ásia-Pacífico;Indonésia;1099,245;2010
Ásia-Pacífico;Japão;4290,6028;2010
Ásia-Pacífico;Malásia;582;2010
Ásia-Pacífico;Nova Zelândia;135,605;2010
Ásia-Pacífico;Paquistão;278,705317;2010
Ásia-Pacífico;Tailândia;1229,5;2010
Ásia-Pacífico;Taiwan;1197;2010
Ásia-Pacífico;Vietinã;159;2010
Ásia-Pacífico;Outros ;177;2010
América do Norte;Canadá;2004,535605;2011
América do Norte;Estados Unidos;17367;2011
América do Norte;México;1605,5;2011
Américas Central e do Sul;Argentina;625;2011
Américas Central e do Sul;Brasil;2013,795;2011
Américas Central e do Sul;Chile;250;2011
Américas Central e do Sul;Colombia;336;2011
Américas Central e do Sul;Curaçao;320;2011
Américas Central e do Sul;Equador;175;2011
Américas Central e do Sul;Peru;252;2011
Américas Central e do Sul;Trinidad e Tobago;165;2011
Américas Central e do Sul;Venezuela;1303;2011
Américas Central e do Sul;Outros ;1013;2011
Europa e Eurásia;Alemanha;2077,482658;2011
Europa e Eurásia;Áustria;192,789041;2011
Europa e Eurásia;Azerbaijão;205;2011
Europa e Eurásia;Bélgica;788;2011
Europa e Eurásia;Bielorrússia;460;2011
Europa e Eurásia;Bulgária;195;2011
Europa e Eurásia;Cazaquistão;330;2011
Europa e Eurásia;Dinamarca;180,739726;2011
Europa e Eurásia;Eslováquia;122;2011
Europa e Eurásia;Espanha;1541,910685;2011
Europa e Eurásia;Finlândia ;261,068493;2011
Europa e Eurásia;França;1610,170055;2011
Europa e Eurásia;Grécia;495;2011
Europa e Eurásia;Holanda;1276,229;2011
Europa e Eurásia;Hungria;165;2011
Europa e Eurásia;Irlanda;75;2011
Europa e Eurásia;Itália;2276;2011
Europa e Eurásia;Lituânia;240,986301;2011
Europa e Eurásia;Noruega;329;2011
Europa e Eurásia;Polônia;579,572055;2011
Europa e Eurásia;Portugal;306,494411;2011
Europa e Eurásia;Reino Unido;1787,315068;2011
Europa e Eurásia;República Tcheca;193,391507;2011
Europa e Eurásia;Romênia;228,896822;2011
Europa e Eurásia;Rússia;5721;2011
Europa e Eurásia;Suécia;454;2011
Europa e Eurásia;Suíça;140;2011
Europa e Eurásia;Turcomenistão;251,027397;2011
Europa e Eurásia;Turquia;596;2011
Europa e Eurásia;Ucrânia;484;2011
Europa e Eurásia;Uzbequistão;232;2011
Europa e Eurásia;Outros;414;2011
Oriente Médio;Arábia Saudita;2107;2011
Oriente Médio;Bahrein;260;2011
Oriente Médio;Catar;283;2011
Oriente Médio;Coveite;936;2011
Oriente Médio;Emirados Árabes Unidos;707;2011
Oriente Médio;Irã;1860;2011
Oriente Médio;Iraque;935;2011
Oriente Médio;Israel;292;2011
Oriente Médio;Omã;222;2011
Oriente Médio;Outros ;496;2011
África;África do Sul;520;2011
África;Argélia;652,35;2011
África;Egito;810;2011
África;Marrocos;130,534247;2011
África;Nigéria;336;2011
África;Outros;780;2011
Ásia-Pacífico;Austrália;742,4;2011
Ásia-Pacífico;Bangladesh;39;2011
Ásia-Pacífico;China;13014,68611;2011
Ásia-Pacífico;Cingapura;1427;2011
Ásia-Pacífico;Coreia do Sul;2864,25;2011
Ásia-Pacífico;Filipinas;261,25;2011
Ásia-Pacífico;Índia;3794,578716;2011
Ásia-Pacífico;Indonésia;1099,245;2011
Ásia-Pacífico;Japão;4274,2628;2011
Ásia-Pacífico;Malásia;601;2011
Ásia-Pacífico;Nova Zelândia;135,605;2011
Ásia-Pacífico;Paquistão;278,895174;2011
Ásia-Pacífico;Tailândia;1229,5;2011
Ásia-Pacífico;Taiwan;1197;2011
Ásia-Pacífico;Vietinã;159;2011
Ásia-Pacífico;Outros ;178,466;2011
América do Norte;Canadá;2014,852814;2012
América do Norte;Estados Unidos;17823;2012
América do Norte;México;1605,5;2012
Américas Central e do Sul;Argentina;657;2012
Américas Central e do Sul;Brasil;2004,235;2012
Américas Central e do Sul;Chile;254;2012
Américas Central e do Sul;Colombia;336;2012
Américas Central e do Sul;Curaçao;320;2012
Américas Central e do Sul;Equador;175;2012
Américas Central e do Sul;Peru;252;2012
Américas Central e do Sul;Trinidad e Tobago;165;2012
Américas Central e do Sul;Venezuela;1303;2012
Américas Central e do Sul;Outros ;356;2012
Europa e Eurásia;Alemanha;2096,520575;2012
Europa e Eurásia;Áustria;192,789041;2012
Europa e Eurásia;Azerbaijão;205;2012
Europa e Eurásia;Bélgica;753;2012
Europa e Eurásia;Bielorrússia;460;2012
Europa e Eurásia;Bulgária;195;2012
Europa e Eurásia;Cazaquistão;330;2012
Europa e Eurásia;Dinamarca;180,739726;2012
Europa e Eurásia;Eslováquia;122;2012
Europa e Eurásia;Espanha;1546,328767;2012
Europa e Eurásia;Finlândia ;261,068493;2012
Europa e Eurásia;França;1512,771425;2012
Europa e Eurásia;Grécia;498;2012
Europa e Eurásia;Holanda;1274,331;2012
Europa e Eurásia;Hungria;165;2012
Europa e Eurásia;Irlanda;75;2012
Europa e Eurásia;Itália;2098;2012
Europa e Eurásia;Lituânia;240,986301;2012
Europa e Eurásia;Noruega;342;2012
Europa e Eurásia;Polônia;581,761014;2012
Europa e Eurásia;Portugal;330;2012
Europa e Eurásia;Reino Unido;1526,246575;2012
Europa e Eurásia;República Tcheca;174,715068;2012
Europa e Eurásia;Romênia;213,533945;2012
Europa e Eurásia;Rússia;5816;2012
Europa e Eurásia;Suécia;454;2012
Europa e Eurásia;Suíça;106;2012
Europa e Eurásia;Turcomenistão;251,027397;2012
Europa e Eurásia;Turquia;596;2012
Europa e Eurásia;Ucrânia;258;2012
Europa e Eurásia;Uzbequistão;232;2012
Europa e Eurásia;Outros;436;2012
Oriente Médio;Arábia Saudita;2107;2012
Oriente Médio;Bahrein;260;2012
Oriente Médio;Catar;283;2012
Oriente Médio;Coveite;936;2012
Oriente Médio;Emirados Árabes Unidos;712;2012
Oriente Médio;Irã;1952;2012
Oriente Médio;Iraque;971;2012
Oriente Médio;Israel;292;2012
Oriente Médio;Omã;222;2012
Oriente Médio;Outros ;496;2012
África;África do Sul;520;2012
África;Argélia;652,35;2012
África;Egito;810;2012
África;Marrocos;200,821918;2012
África;Nigéria;336;2012
África;Outros;910;2012
Ásia-Pacífico;Austrália;663,4;2012
Ásia-Pacífico;Bangladesh;40;2012
Ásia-Pacífico;China;13643,13273;2012
Ásia-Pacífico;Cingapura;1422;2012
Ásia-Pacífico;Coreia do Sul;2877,55;2012
Ásia-Pacífico;Filipinas;261,25;2012
Ásia-Pacífico;Índia;4278,828378;2012
Ásia-Pacífico;Indonésia;1099,245;2012
Ásia-Pacífico;Japão;4253,57085;2012
Ásia-Pacífico;Malásia;606;2012
Ásia-Pacífico;Nova Zelândia;135,605;2012
Ásia-Pacífico;Paquistão;275,135787;2012
Ásia-Pacífico;Tailândia;1229,5;2012
Ásia-Pacífico;Taiwan;1197;2012
Ásia-Pacífico;Vietinã;159;2012
Ásia-Pacífico;Outros ;178,466;2012
América do Norte;Canadá;1929,441554;2013
América do Norte;Estados Unidos;17925;2013
América do Norte;México;1605,5;2013
Américas Central e do Sul;Argentina;657;2013
Américas Central e do Sul;Brasil;2096,852;2013
Américas Central e do Sul;Chile;254;2013
Américas Central e do Sul;Colombia;336;2013
Américas Central e do Sul;Curaçao;320;2013
Américas Central e do Sul;Equador;175;2013
Américas Central e do Sul;Peru;253;2013
Américas Central e do Sul;Trinidad e Tobago;165;2013
Américas Central e do Sul;Venezuela;1303;2013
Américas Central e do Sul;Outros ;361;2013
Europa e Eurásia;Alemanha;2061,135753;2013
Europa e Eurásia;Áustria;192,789041;2013
Europa e Eurásia;Azerbaijão;205;2013
Europa e Eurásia;Bélgica;776;2013
Europa e Eurásia;Bielorrússia;460;2013
Europa e Eurásia;Bulgária;195;2013
Europa e Eurásia;Cazaquistão;350;2013
Europa e Eurásia;Dinamarca;180,739726;2013
Europa e Eurásia;Eslováquia;122;2013
Europa e Eurásia;Espanha;1546,328767;2013
Europa e Eurásia;Finlândia ;261,068493;2013
Europa e Eurásia;França;1374,92726;2013
Europa e Eurásia;Grécia;498;2013
Europa e Eurásia;Holanda;1274,331;2013
Europa e Eurásia;Hungria;165;2013
Europa e Eurásia;Irlanda;75;2013
Europa e Eurásia;Itália;1861;2013
Europa e Eurásia;Lituânia;240,986301;2013
Europa e Eurásia;Noruega;342;2013
Europa e Eurásia;Polônia;581,761014;2013
Europa e Eurásia;Portugal;330;2013
Europa e Eurásia;Reino Unido;1498,131507;2013
Europa e Eurásia;República Tcheca;174,715068;2013
Europa e Eurásia;Romênia;235,443616;2013
Europa e Eurásia;Rússia;6279;2013
Europa e Eurásia;Suécia;454;2013
Europa e Eurásia;Suíça;140;2013
Europa e Eurásia;Turcomenistão;251,027397;2013
Europa e Eurásia;Turquia;596;2013
Europa e Eurásia;Ucrânia;272;2013
Europa e Eurásia;Uzbequistão;232;2013
Europa e Eurásia;Outros;387;2013
Oriente Médio;Arábia Saudita;2507;2013
Oriente Médio;Bahrein;260;2013
Oriente Médio;Catar;283;2013
Oriente Médio;Coveite;936;2013
Oriente Médio;Emirados Árabes Unidos;712;2013
Oriente Médio;Irã;1985;2013
Oriente Médio;Iraque;823;2013
Oriente Médio;Israel;294;2013
Oriente Médio;Omã;222;2013
Oriente Médio;Outros ;382;2013
África;África do Sul;520;2013
África;Argélia;646,551;2013
África;Egito;810;2013
África;Marrocos;200,821918;2013
África;Nigéria;336;2013
África;Outros;930;2013
Ásia-Pacífico;Austrália;662,4;2013
Ásia-Pacífico;Bangladesh;43;2013
Ásia-Pacífico;China;14502,77652;2013
Ásia-Pacífico;Cingapura;1414;2013
Ásia-Pacífico;Coreia do Sul;2877,55;2013
Ásia-Pacífico;Filipinas;269,8;2013
Ásia-Pacífico;Índia;4319,025154;2013
Ásia-Pacífico;Indonésia;1099,245;2013
Ásia-Pacífico;Japão;4122,715;2013
Ásia-Pacífico;Malásia;612;2013
Ásia-Pacífico;Nova Zelândia;135,605;2013
Ásia-Pacífico;Paquistão;389,805102;2013
Ásia-Pacífico;Tailândia;1236,5;2013
Ásia-Pacífico;Taiwan;1197;2013
Ásia-Pacífico;Vietinã;159;2013
Ásia-Pacífico;Outros ;184,33;2013
América do Norte;Canadá;1929,441554;2014
América do Norte;Estados Unidos;17967;2014
América do Norte;México;1521,9;2014
Américas Central e do Sul;Argentina;657;2014
Américas Central e do Sul;Brasil;2238,378;2014
Américas Central e do Sul;Chile;258;2014
Américas Central e do Sul;Colombia;336;2014
Américas Central e do Sul;Curaçao;320;2014
Américas Central e do Sul;Equador;175;2014
Américas Central e do Sul;Peru;253;2014
Américas Central e do Sul;Trinidad e Tobago;165;2014
Américas Central e do Sul;Venezuela;1303;2014
Américas Central e do Sul;Outros ;376;2014
Europa e Eurásia;Alemanha;2076,619123;2014
Europa e Eurásia;Áustria;192,789041;2014
Europa e Eurásia;Azerbaijão;205;2014
Europa e Eurásia;Bélgica;776;2014
Europa e Eurásia;Bielorrússia;460;2014
Europa e Eurásia;Bulgária;195;2014
Europa e Eurásia;Cazaquistão;350;2014
Europa e Eurásia;Dinamarca;180;2014
Europa e Eurásia;Eslováquia;122;2014
Europa e Eurásia;Espanha;1546,328767;2014
Europa e Eurásia;Finlândia ;261,068493;2014
Europa e Eurásia;França;1374,92726;2014
Europa e Eurásia;Grécia;498;2014
Europa e Eurásia;Holanda;1274,331;2014
Europa e Eurásia;Hungria;165;2014
Europa e Eurásia;Irlanda;75;2014
Europa e Eurásia;Itália;1900;2014
Europa e Eurásia;Lituânia;240,986301;2014
Europa e Eurásia;Noruega;342;2014
Europa e Eurásia;Polônia;581,761014;2014
Europa e Eurásia;Portugal;330;2014
Europa e Eurásia;Reino Unido;1337,473973;2014
Europa e Eurásia;República Tcheca;174,715068;2014
Europa e Eurásia;Romênia;228,455014;2014
Europa e Eurásia;Rússia;6417;2014
Europa e Eurásia;Suécia;454;2014
Europa e Eurásia;Suíça;140;2014
Europa e Eurásia;Turcomenistão;251,027397;2014
Europa e Eurásia;Turquia;596;2014
Europa e Eurásia;Ucrânia;250;2014
Europa e Eurásia;Uzbequistão;232;2014
Europa e Eurásia;Outros;404;2014
Oriente Médio;Arábia Saudita;2899;2014
Oriente Médio;Bahrein;260;2014
Oriente Médio;Catar;283;2014
Oriente Médio;Coveite;936;2014
Oriente Médio;Emirados Árabes Unidos;728;2014
Oriente Médio;Irã;1985;2014
Oriente Médio;Iraque;791;2014
Oriente Médio;Israel;301;2014
Oriente Médio;Omã;222;2014
Oriente Médio;Outros ;382;2014
África;África do Sul;520;2014
África;Argélia;650,858;2014
África;Egito;810;2014
África;Marrocos;200,821918;2014
África;Nigéria;339;2014
África;Outros;932;2014
Ásia-Pacífico;Austrália;536,15;2014
Ásia-Pacífico;Bangladesh;43;2014
Ásia-Pacífico;China;15252,54515;2014
Ásia-Pacífico;Cingapura;1514;2014
Ásia-Pacífico;Coreia do Sul;3122,65;2014
Ásia-Pacífico;Filipinas;270,75;2014
Ásia-Pacífico;Índia;4319,025154;2014
Ásia-Pacífico;Indonésia;1099,245;2014
Ásia-Pacífico;Japão;3749,365;2014
Ásia-Pacífico;Malásia;612;2014
Ásia-Pacífico;Nova Zelândia;135,605;2014
Ásia-Pacífico;Paquistão;389,805102;2014
Ásia-Pacífico;Tailândia;1251,5;2014
Ásia-Pacífico;Taiwan;1197;2014
Ásia-Pacífico;Vietinã;159;2014
Ásia-Pacífico;Outros ;191,33;2014
América do Norte;Canadá;1930,789494;2015
América do Norte;Estados Unidos;18317;2015
América do Norte;México;1521,9;2015
Américas Central e do Sul;Argentina;657;2015
Américas Central e do Sul;Brasil;2281,4;2015
Américas Central e do Sul;Chile;258;2015
Américas Central e do Sul;Colombia;421;2015
Américas Central e do Sul;Curaçao;320;2015
Américas Central e do Sul;Equador;175;2015
Américas Central e do Sul;Peru;253;2015
Américas Central e do Sul;Trinidad e Tobago;165;2015
Américas Central e do Sul;Venezuela;1303;2015
Américas Central e do Sul;Outros ;384;2015
Europa e Eurásia;Alemanha;2049,488082;2015
Europa e Eurásia;Áustria;192,789041;2015
Europa e Eurásia;Azerbaijão;205;2015
Europa e Eurásia;Bélgica;776;2015
Europa e Eurásia;Bielorrússia;460;2015
Europa e Eurásia;Bulgária;195;2015
Europa e Eurásia;Cazaquistão;350;2015
Europa e Eurásia;Dinamarca;180;2015
Europa e Eurásia;Eslováquia;122;2015
Europa e Eurásia;Espanha;1562,394521;2015
Europa e Eurásia;Finlândia ;261,068493;2015
Europa e Eurásia;França;1374,92726;2015
Europa e Eurásia;Grécia;528;2015
Europa e Eurásia;Holanda;1292,75;2015
Europa e Eurásia;Hungria;165;2015
Europa e Eurásia;Irlanda;75;2015
Europa e Eurásia;Itália;1900;2015
Europa e Eurásia;Lituânia;240,986301;2015
Europa e Eurásia;Noruega;342;2015
Europa e Eurásia;Polônia;581,379452;2015
Europa e Eurásia;Portugal;330;2015
Europa e Eurásia;Reino Unido;1337,473973;2015
Europa e Eurásia;República Tcheca;174,715068;2015
Europa e Eurásia;Romênia;238,978082;2015
Europa e Eurásia;Rússia;6523;2015
Europa e Eurásia;Suécia;454;2015
Europa e Eurásia;Suíça;68;2015
Europa e Eurásia;Turcomenistão;271,109589;2015
Europa e Eurásia;Turquia;596;2015
Europa e Eurásia;Ucrânia;250;2015
Europa e Eurásia;Uzbequistão;232;2015
Europa e Eurásia;Outros;413;2015
Oriente Médio;Arábia Saudita;2899;2015
Oriente Médio;Bahrein;260;2015
Oriente Médio;Catar;283;2015
Oriente Médio;Coveite;936;2015
Oriente Médio;Emirados Árabes Unidos;1149;2015
Oriente Médio;Irã;1985;2015
Oriente Médio;Iraque;763;2015
Oriente Médio;Israel;301;2015
Oriente Médio;Omã;222;2015
Oriente Médio;Outros ;382;2015
África;África do Sul;520;2015
África;Argélia;650,858;2015
África;Egito;810;2015
África;Marrocos;200,821918;2015
África;Nigéria;339;2015
África;Outros;932;2015
Ásia-Pacífico;Austrália;443,1;2015
Ásia-Pacífico;Bangladesh;43;2015
Ásia-Pacífico;China;15024,18051;2015
Ásia-Pacífico;Cingapura;1514;2015
Ásia-Pacífico;Coreia do Sul;3128,35;2015
Ásia-Pacífico;Filipinas;270,75;2015
Ásia-Pacífico;Índia;4307,202581;2015
Ásia-Pacífico;Indonésia;1110,645;2015
Ásia-Pacífico;Japão;3720,865;2015
Ásia-Pacífico;Malásia;612;2015
Ásia-Pacífico;Nova Zelândia;135,605;2015
Ásia-Pacífico;Paquistão;388,714921;2015
Ásia-Pacífico;Tailândia;1251,5;2015
Ásia-Pacífico;Taiwan;988;2015
Ásia-Pacífico;Vietinã;159;2015
Ásia-Pacífico;Outros ;191,33;2015
América do Norte;Canadá;1933,707966;2016
América do Norte;Estados Unidos;18617;2016
América do Norte;México;1521,9;2016
Américas Central e do Sul;Argentina;657;2016
Américas Central e do Sul;Brasil;2288,869;2016
Américas Central e do Sul;Chile;258;2016
Américas Central e do Sul;Colombia;421;2016
Américas Central e do Sul;Curaçao;320;2016
Américas Central e do Sul;Equador;175;2016
Américas Central e do Sul;Peru;253;2016
Américas Central e do Sul;Trinidad e Tobago;165;2016
Américas Central e do Sul;Venezuela;1303;2016
Américas Central e do Sul;Outros ;384;2016
Europa e Eurásia;Alemanha;2051,496301;2016
Europa e Eurásia;Áustria;192,789041;2016
Europa e Eurásia;Azerbaijão;205;2016
Europa e Eurásia;Bélgica;776;2016
Europa e Eurásia;Bielorrússia;460;2016
Europa e Eurásia;Bulgária;195;2016
Europa e Eurásia;Cazaquistão;350;2016
Europa e Eurásia;Dinamarca;180;2016
Europa e Eurásia;Eslováquia;122;2016
Europa e Eurásia;Espanha;1562,394521;2016
Europa e Eurásia;Finlândia ;261,068493;2016
Europa e Eurásia;França;1245,09589;2016
Europa e Eurásia;Grécia;528;2016
Europa e Eurásia;Holanda;1292,75;2016
Europa e Eurásia;Hungria;165;2016
Europa e Eurásia;Irlanda;75;2016
Europa e Eurásia;Itália;1900;2016
Europa e Eurásia;Lituânia;240,986301;2016
Europa e Eurásia;Noruega;342;2016
Europa e Eurásia;Polônia;581,379452;2016
Europa e Eurásia;Portugal;330;2016
Europa e Eurásia;Reino Unido;1227,021918;2016
Europa e Eurásia;República Tcheca;174,715068;2016
Europa e Eurásia;Romênia;255,927452;2016
Europa e Eurásia;Rússia;6594;2016
Europa e Eurásia;Suécia;454;2016
Europa e Eurásia;Suíça;68;2016
Europa e Eurásia;Turcomenistão;271,109589;2016
Europa e Eurásia;Turquia;596;2016
Europa e Eurásia;Ucrânia;250;2016
Europa e Eurásia;Uzbequistão;232;2016
Europa e Eurásia;Outros;413;2016
Oriente Médio;Arábia Saudita;2901;2016
Oriente Médio;Bahrein;260;2016
Oriente Médio;Catar;429;2016
Oriente Médio;Coveite;936;2016
Oriente Médio;Emirados Árabes Unidos;1149;2016
Oriente Médio;Irã;1985;2016
Oriente Médio;Iraque;779;2016
Oriente Médio;Israel;301;2016
Oriente Médio;Omã;222;2016
Oriente Médio;Outros ;382;2016
África;África do Sul;520;2016
África;Argélia;650,858;2016
África;Egito;810;2016
África;Marrocos;200,821918;2016
África;Nigéria;339;2016
África;Outros;932;2016
Ásia-Pacífico;Austrália;451,75;2016
Ásia-Pacífico;Bangladesh;43;2016
Ásia-Pacífico;China;14854,51537;2016
Ásia-Pacífico;Cingapura;1514;2016
Ásia-Pacífico;Coreia do Sul;3258,5;2016
Ásia-Pacífico;Filipinas;270,75;2016
Ásia-Pacífico;Índia;4620,264516;2016
Ásia-Pacífico;Indonésia;1110,645;2016
Ásia-Pacífico;Japão;3600,215;2016
Ásia-Pacífico;Malásia;618;2016
Ásia-Pacífico;Nova Zelândia;135,605;2016
Ásia-Pacífico;Paquistão;389,277021;2016
Ásia-Pacífico;Tailândia;1234,5;2016
Ásia-Pacífico;Taiwan;988;2016
Ásia-Pacífico;Vietinã;163;2016
Ásia-Pacífico;Outros ;191,33;2016
América do Norte;Canadá;1969,559887;2017
América do Norte;Estados Unidos;18567;2017
América do Norte;México;1545,65;2017
Américas Central e do Sul;Argentina;657;2017
Américas Central e do Sul;Brasil;2285,075664;2017
Américas Central e do Sul;Chile;258;2017
Américas Central e do Sul;Colombia;421;2017
Américas Central e do Sul;Curaçao;320;2017
Américas Central e do Sul;Equador;175;2017
Américas Central e do Sul;Peru;253;2017
Américas Central e do Sul;Trinidad e Tobago;165;2017
Américas Central e do Sul;Venezuela;1303;2017
Américas Central e do Sul;Outros ;384;2017
Europa e Eurásia;Alemanha;2068,867397;2017
Europa e Eurásia;Áustria;192,789041;2017
Europa e Eurásia;Azerbaijão;205;2017
Europa e Eurásia;Bélgica;776;2017
Europa e Eurásia;Bielorrússia;490;2017
Europa e Eurásia;Bulgária;195;2017
Europa e Eurásia;Cazaquistão;360;2017
Europa e Eurásia;Dinamarca;180,547945;2017
Europa e Eurásia;Eslováquia;122;2017
Europa e Eurásia;Espanha;1562,394521;2017
Europa e Eurásia;Finlândia ;261,068493;2017
Europa e Eurásia;França;1245,09589;2017
Europa e Eurásia;Grécia;528;2017
Europa e Eurásia;Holanda;1293,75;2017
Europa e Eurásia;Hungria;165;2017
Europa e Eurásia;Irlanda;75;2017
Europa e Eurásia;Itália;1900;2017
Europa e Eurásia;Lituânia;240,986301;2017
Europa e Eurásia;Noruega;342;2017
Europa e Eurásia;Polônia;568,16537;2017
Europa e Eurásia;Portugal;330;2017
Europa e Eurásia;Reino Unido;1227,021918;2017
Europa e Eurásia;República Tcheca;174,715068;2017
